flow ID,source IP,destination IP,source port,destination port,date,duration
192.168.1.11-192.168.1.3-33783-20002,192.168.1.11,192.168.1.3,33783,20002, 14/05/2020  23:35:16 ,44025307
192.168.1.11-192.168.1.7-41065-20002,192.168.1.11,192.168.1.7,41065,20002, 14/05/2020  23:59:17 ,44017195
192.168.1.11-192.168.1.3-33783-20002,192.168.1.11,192.168.1.3,33783,20002, 15/05/2020  02:42:14 ,44008614
192.168.1.11-192.168.1.8-39169-20002,192.168.1.11,192.168.1.8,39169,20002, 14/05/2020  23:47:02 ,44013817
192.168.1.11-192.168.1.7-41065-20002,192.168.1.11,192.168.1.7,41065,20002, 15/05/2020  00:59:19 ,44012261
192.168.1.11-192.168.1.6-54308-20002,192.168.1.11,192.168.1.6,54308,20002, 15/05/2020  01:56:17 ,44018402
192.168.1.11-192.168.1.3-33783-20002,192.168.1.11,192.168.1.3,33783,20002, 15/05/2020  02:03:32 ,44022884
192.168.1.11-192.168.1.9-34422-20002,192.168.1.11,192.168.1.6,33783,20002, 14/05/2020  23:30:29 ,44015699
192.168.1.11-192.168.1.7-41065-20002,192.168.1.11,192.168.1.5,39574,20002, 15/05/2020  01:18:14 ,44021381
192.168.1.11-192.168.1.5-39574-20002,192.168.1.11,192.168.1.6,54308,20002, 15/05/2020  02:37:42 ,44021013
192.168.1.11-192.168.1.5-39574-20002,192.168.1.11,192.168.1.5,39574,20002, 14/05/2020  23:57:28 ,44019419
192.168.1.11-192.168.1.3-33783-20002,192.168.1.11,192.168.1.10,33783,20002, 15/05/2020  01:16:10 ,44022840
192.168.1.11-192.168.1.9-34422-20002,192.168.1.11,192.168.1.9,34422,20002, 15/05/2020  03:12:24 ,44020531
192.168.1.11-192.168.1.10-36479-20002,192.168.1.11,192.168.1.10,36479,20002, 15/05/2020  01:07:30 ,44026061
192.168.1.11-192.168.1.4-45060-20002,192.168.1.11,192.168.1.4,45060,20002, 15/05/2020  00:30:07 ,44016117
192.168.1.11-192.168.1.5-39574-20002,192.168.1.11,192.168.1.5,39574,20002, 15/05/2020  00:03:35 ,44015028
192.168.1.6-192.168.1.11-20002-54308,192.168.1.6,192.168.1.11,20002,54308, 15/05/2020  02:17:51 ,43996310
192.168.1.11-192.168.1.3-33783-20002,192.168.1.11,192.168.1.3,33783,20002, 15/05/2020  01:21:08 ,44745186
192.168.1.11-192.168.1.4-45060-20002,192.168.1.11,192.168.1.4,45060,20002, 15/05/2020  00:33:09 ,44018773
